"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Approved"," ","40960","56.3559","County"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Rejected"," ","31721","43.6441","County"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Vivian Eason","(Prefers Independent Party)","36397","49.474","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Wayne Fournier","(Prefers Democratic Party)","36903","50.1618","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","WRITE-IN"," ","268","0.3643","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Emily Clouse","(Prefers Democratic Party)","44281","59.9015","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Terry S. Ballard","(States No Party Preference)","29391","39.7589","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","WRITE-IN"," ","251","0.3395","Commissioner"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Jasmine Vasavada"," ","37340","51.8071","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Bill McGregor"," ","34438","47.7808","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","WRITE-IN"," ","297","0.4121","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Rose Chiu Gundersen"," ","35102","49.1638","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Maggie Sanders"," ","35940","50.3375","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","WRITE-IN"," ","356","0.4986","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Sarah Tonge"," ","37520","52.799","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Troy Kirby"," ","33237","46.7718","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","WRITE-IN"," ","305","0.4292","Port"
"Town of Bucoda Mayor","Robert F. Gordon"," ","106","100","City/Town"
"Town of Bucoda Mayor","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 1","Callie Carpenter"," ","95","98.9583","City/Town"
"Town of Bucoda Town Council, Position No. 1","WRITE-IN"," ","1","1.0417","City/Town"
"Town of Bucoda Town Council, Position No. 2","Steven Lyle"," ","93","97.8947","City/Town"
"Town of Bucoda Town Council, Position No. 2","WRITE-IN"," ","2","2.1053","City/Town"
"Town of Bucoda Town Council, Position No. 4","Michelle Layton"," ","96","100","City/Town"
"Town of Bucoda Town Council, Position No. 4","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 5","Kiersten Presley"," ","97","98.9796","City/Town"
"Town of Bucoda Town Council, Position No. 5","WRITE-IN"," ","1","1.0204","City/Town"
"CITY OF LACEY City Council, Position No. 1","Malcolm Miller"," ","9470","97.5384","City/Town"
"CITY OF LACEY City Council, Position No. 1","WRITE-IN"," ","239","2.4616","City/Town"
"CITY OF LACEY City Council, Position No. 2","Spencer Zeman"," ","4968","43.7439","City/Town"
"CITY OF LACEY City Council, Position No. 2","Lenny Greenstein"," ","6336","55.7894","City/Town"
"CITY OF LACEY City Council, Position No. 2","WRITE-IN"," ","53","0.4667","City/Town"
"CITY OF LACEY City Council, Position No.  3","Nicolas Dunning"," ","7127","63.6169","City/Town"
"CITY OF LACEY City Council, Position No.  3","Ed Kunkel"," ","3977","35.4994","City/Town"
"CITY OF LACEY City Council, Position No.  3","WRITE-IN"," ","99","0.8837","City/Town"
"City of Olympia Mayor","Dontae Payne"," ","11186","69.5171","City/Town"
"City of Olympia Mayor","David Ross"," ","4833","30.0354","City/Town"
"City of Olympia Mayor","WRITE-IN"," ","72","0.4475","City/Town"
"City of Olympia City Council, Position No. 2","Yen Huynh"," ","11819","96.1989","City/Town"
"City of Olympia City Council, Position No. 2","WRITE-IN"," ","467","3.8011","City/Town"
"City of Olympia City Council, Position No. 3","Dani Madrone"," ","11837","96.2906","City/Town"
"City of Olympia City Council, Position No. 3","WRITE-IN"," ","456","3.7094","City/Town"
"City of Rainier City Council, Position No. 2","Damion Green"," ","246","49.2986","City/Town"
"City of Rainier City Council, Position No. 2","Ryan Roth"," ","247","49.499","City/Town"
"City of Rainier City Council, Position No. 2","WRITE-IN"," ","6","1.2024","City/Town"
"City of Rainier City Council, Position No. 4","Ron Kemp"," ","371","96.114","City/Town"
"City of Rainier City Council, Position No. 4","WRITE-IN"," ","15","3.886","City/Town"
"City of Tenino Mayor","David Watterson"," ","250","52.3013","City/Town"
"City of Tenino Mayor","Linda Gotovac"," ","226","47.2803","City/Town"
"City of Tenino Mayor","WRITE-IN"," ","2","0.4184","City/Town"
