"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Approved"," ","41000","56.3582","County"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Rejected"," ","31749","43.6418","County"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Vivian Eason","(Prefers Independent Party)","36432","49.4724","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Wayne Fournier","(Prefers Democratic Party)","36940","50.1623","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","WRITE-IN"," ","269","0.3653","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Emily Clouse","(Prefers Democratic Party)","44326","59.9032","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Terry S. Ballard","(States No Party Preference)","29419","39.7576","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","WRITE-IN"," ","251","0.3392","Commissioner"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Jasmine Vasavada"," ","37372","51.7991","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Bill McGregor"," ","34478","47.7879","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","WRITE-IN"," ","298","0.413","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Rose Chiu Gundersen"," ","35139","49.1661","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Maggie Sanders"," ","35974","50.3344","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","WRITE-IN"," ","357","0.4995","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Sarah Tonge"," ","37558","52.7997","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Troy Kirby"," ","33269","46.7701","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","WRITE-IN"," ","306","0.4302","Port"
"Town of Bucoda Mayor","Robert F. Gordon"," ","106","100","City/Town"
"Town of Bucoda Mayor","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 1","Callie Carpenter"," ","95","98.9583","City/Town"
"Town of Bucoda Town Council, Position No. 1","WRITE-IN"," ","1","1.0417","City/Town"
"Town of Bucoda Town Council, Position No. 2","Steven Lyle"," ","93","97.8947","City/Town"
"Town of Bucoda Town Council, Position No. 2","WRITE-IN"," ","2","2.1053","City/Town"
"Town of Bucoda Town Council, Position No. 4","Michelle Layton"," ","96","100","City/Town"
"Town of Bucoda Town Council, Position No. 4","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 5","Kiersten Presley"," ","97","98.9796","City/Town"
"Town of Bucoda Town Council, Position No. 5","WRITE-IN"," ","1","1.0204","City/Town"
"CITY OF LACEY City Council, Position No. 1","Malcolm Miller"," ","9480","97.5409","City/Town"
"CITY OF LACEY City Council, Position No. 1","WRITE-IN"," ","239","2.4591","City/Town"
"CITY OF LACEY City Council, Position No. 2","Spencer Zeman"," ","4974","43.7582","City/Town"
