"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Approved"," ","40059","56.379","County"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Rejected"," ","30994","43.621","County"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Vivian Eason","(Prefers Independent Party)","35584","49.4848","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Wayne Fournier","(Prefers Democratic Party)","36065","50.1537","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","WRITE-IN"," ","260","0.3616","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Emily Clouse","(Prefers Democratic Party)","43228","59.8485","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Terry S. Ballard","(States No Party Preference)","28759","39.8164","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","WRITE-IN"," ","242","0.335","Commissioner"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Jasmine Vasavada"," ","36473","51.781","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Bill McGregor"," ","33675","47.8087","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","WRITE-IN"," ","289","0.4103","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Rose Chiu Gundersen"," ","34295","49.16","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Maggie Sanders"," ","35118","50.3397","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","WRITE-IN"," ","349","0.5003","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Sarah Tonge"," ","36658","52.7901","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Troy Kirby"," ","32485","46.7807","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","WRITE-IN"," ","298","0.4291","Port"
"Town of Bucoda Mayor","Robert F. Gordon"," ","104","100","City/Town"
"Town of Bucoda Mayor","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 1","Callie Carpenter"," ","93","98.9362","City/Town"
"Town of Bucoda Town Council, Position No. 1","WRITE-IN"," ","1","1.0638","City/Town"
"Town of Bucoda Town Council, Position No. 2","Steven Lyle"," ","91","97.8495","City/Town"
"Town of Bucoda Town Council, Position No. 2","WRITE-IN"," ","2","2.1505","City/Town"
"Town of Bucoda Town Council, Position No. 4","Michelle Layton"," ","94","100","City/Town"
"Town of Bucoda Town Council, Position No. 4","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 5","Kiersten Presley"," ","95","98.9583","City/Town"
"Town of Bucoda Town Council, Position No. 5","WRITE-IN"," ","1","1.0417","City/Town"
"CITY OF LACEY City Council, Position No. 1","Malcolm Miller"," ","9242","97.5409","City/Town"
"CITY OF LACEY City Council, Position No. 1","WRITE-IN"," ","233","2.4591","City/Town"
"CITY OF LACEY City Council, Position No. 2","Spencer Zeman"," ","4844","43.679","City/Town"
"CITY OF LACEY City Council, Position No. 2","Lenny Greenstein"," ","6195","55.8611","City/Town"
"CITY OF LACEY City Council, Position No. 2","WRITE-IN"," ","51","0.4599","City/Town"
"CITY OF LACEY City Council, Position No.  3","Nicolas Dunning"," ","6959","63.599","City/Town"
"CITY OF LACEY City Council, Position No.  3","Ed Kunkel"," ","3887","35.5237","City/Town"
"CITY OF LACEY City Council, Position No.  3","WRITE-IN"," ","96","0.8774","City/Town"
"City of Olympia Mayor","Dontae Payne"," ","10945","69.4744","City/Town"
"City of Olympia Mayor","David Ross"," ","4737","30.0686","City/Town"
"City of Olympia Mayor","WRITE-IN"," ","72","0.457","City/Town"
"City of Olympia City Council, Position No. 2","Yen Huynh"," ","11558","96.1884","City/Town"
"City of Olympia City Council, Position No. 2","WRITE-IN"," ","458","3.8116","City/Town"
"City of Olympia City Council, Position No. 3","Dani Madrone"," ","11582","96.3","City/Town"
"City of Olympia City Council, Position No. 3","WRITE-IN"," ","445","3.7","City/Town"
"City of Rainier City Council, Position No. 2","Damion Green"," ","244","49.3927","City/Town"
"City of Rainier City Council, Position No. 2","Ryan Roth"," ","244","49.3927","City/Town"
