"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"City of Rainier City Council, Position No. 2","WRITE-IN"," ","6","1.2146","City/Town"
"City of Rainier City Council, Position No. 4","Ron Kemp"," ","367","96.0733","City/Town"
"City of Rainier City Council, Position No. 4","WRITE-IN"," ","15","3.9267","City/Town"
"City of Tenino Mayor","David Watterson"," ","249","52.6427","City/Town"
"City of Tenino Mayor","Linda Gotovac"," ","222","46.9345","City/Town"
"City of Tenino Mayor","WRITE-IN"," ","2","0.4228","City/Town"
"City of Tenino City Council, Position No. 2","Elaine Klamn"," ","359","97.8202","City/Town"
"City of Tenino City Council, Position No. 2","WRITE-IN"," ","8","2.1798","City/Town"
"City of Tenino City Council, Position No. 5","Jeff Eisel"," ","352","97.7778","City/Town"
"City of Tenino City Council, Position No. 5","WRITE-IN"," ","8","2.2222","City/Town"
"City of Tumwater City Council, Position No. 1","Leatta Dahlhoff"," ","4521","97.4563","City/Town"
"City of Tumwater City Council, Position No. 1","WRITE-IN"," ","118","2.5437","City/Town"
"City of Tumwater City Council, Position No. 2","Angela Jefferson"," ","4617","97.9215","City/Town"
"City of Tumwater City Council, Position No. 2","WRITE-IN"," ","98","2.0785","City/Town"
"City of Tumwater City Council, Position No. 3","Doris Atkinson"," ","905","16.0319","City/Town"
"City of Tumwater City Council, Position No. 3","Joan Cathey"," ","4669","82.7104","City/Town"
"City of Tumwater City Council, Position No. 3","WRITE-IN"," ","71","1.2578","City/Town"
"City of Tumwater City Council, Position No. 7","Andrea McGhee"," ","2842","47.3272","City/Town"
"City of Tumwater City Council, Position No. 7","Kelly Von Holtz"," ","3134","52.1898","City/Town"
"City of Tumwater City Council, Position No. 7","WRITE-IN"," ","29","0.4829","City/Town"
"CITY OF YELM City Council, Position No. 1","Stephanie Kangiser"," ","583","48.5025","City/Town"
"CITY OF YELM City Council, Position No. 1","Tracey Wood"," ","612","50.9151","City/Town"
"CITY OF YELM City Council, Position No. 1","WRITE-IN"," ","7","0.5824","City/Town"
"CITY OF YELM City Council, Position No. 2","Joseph Dale Richardson"," ","628","52.5084","City/Town"
"CITY OF YELM City Council, Position No. 2","Jerry Toompas"," ","560","46.8227","City/Town"
"CITY OF YELM City Council, Position No. 2","WRITE-IN"," ","8","0.6689","City/Town"
"CITY OF YELM City Council, Position No. 6","Trevor Palmer"," ","603","50.2082","City/Town"
"CITY OF YELM City Council, Position No. 6","Ashley Lea Brooks"," ","591","49.209","City/Town"
"CITY OF YELM City Council, Position No. 6","WRITE-IN"," ","7","0.5828","City/Town"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 2","Maritza Bravo"," ","71","94.6667","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 2","WRITE-IN"," ","4","5.3333","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 3","Andrea Ware"," ","67","93.0556","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 3","WRITE-IN"," ","5","6.9444","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","Mandi McDougall"," ","33","34.0206","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","Sarah Holmes"," ","62","63.9175","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","WRITE-IN"," ","2","2.0619","School"
"Griffin School District No. 324 School Board Director, Position No. 1","Matt Dorcy"," ","1160","44.7876","School"
"Griffin School District No. 324 School Board Director, Position No. 1","Tesa Frevert"," ","1420","54.8263","School"
"Griffin School District No. 324 School Board Director, Position No. 1","WRITE-IN"," ","10","0.3861","School"
"Griffin School District No. 324 School Board Director, Position No. 2","Emma Rose"," ","1889","96.8221","School"
"Griffin School District No. 324 School Board Director, Position No. 2","WRITE-IN"," ","62","3.1779","School"
"Griffin School District No. 324 School Board Director, Position No. 3","David Kangiser"," ","976","40.6328","School"
"Griffin School District No. 324 School Board Director, Position No. 3","Blair Baker"," ","1405","58.4929","School"
"Griffin School District No. 324 School Board Director, Position No. 3","WRITE-IN"," ","21","0.8743","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","Veronica Shriver"," ","10876","47.166","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","Gretchen Maliska"," ","12074","52.3613","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","WRITE-IN"," ","109","0.4727","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","Stephanie Scott"," ","10653","46.6562","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","Esperanza A. Badillo-Diiorio"," ","12030","52.6869","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","WRITE-IN"," ","150","0.6569","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","Michelle J. Gipson"," ","11894","51.3735","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","David G. Newkirk"," ","11162","48.2118","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","WRITE-IN"," ","96","0.4147","School"
"Olympia School District No. 111 School Board Director, District No. 1","Maria R. Flores"," ","12845","61.2513","School"
"Olympia School District No. 111 School Board Director, District No. 1","Talauna Reed"," ","7310","34.8577","School"
"Olympia School District No. 111 School Board Director, District No. 1","WRITE-IN"," ","816","3.8911","School"
"Olympia School District No. 111 School Board Director, District No. 2","Jess Tourtellotte-Palumbo"," ","12468","59.1013","School"
"Olympia School District No. 111 School Board Director, District No. 2","Frank Durocher"," ","8558","40.5669","School"
"Olympia School District No. 111 School Board Director, District No. 2","WRITE-IN"," ","70","0.3318","School"
"Olympia School District No. 111 School Board Director, District No. 4","Hilary Seidel"," ","12478","59.7348","School"
"Olympia School District No. 111 School Board Director, District No. 4","Leslie Van Leishout"," ","8287","39.6716","School"
"Olympia School District No. 111 School Board Director, District No. 4","WRITE-IN"," ","124","0.5936","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","Amanda Siemandel"," ","710","55.5991","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","Aaron Lang"," ","560","43.8528","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","WRITE-IN"," ","7","0.5482","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","Jerry F. Sprouffske"," ","711","53.6604","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","Jon Palmer"," ","607","45.8113","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","WRITE-IN"," ","7","0.5283","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","Dana Morgan Spivey"," ","890","67.9389","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","Brian Hackethal"," ","417","31.8321","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","WRITE-IN"," ","3","0.229","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","Grant Rodeheaver"," ","1962","62.7438","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","Wava Garza"," ","1144","36.5846","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","WRITE-IN"," ","21","0.6716","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","Penelope Mena"," ","1350","42.9116","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","Susie Hawes"," ","1773","56.3573","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","WRITE-IN"," ","23","0.7311","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","James Neil Turner"," ","1545","50.0162","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","Michael L. Morrow"," ","1522","49.2716","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","WRITE-IN"," ","22","0.7122","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","Ryan T. Hilton"," ","415","15.0362","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","Jennifer Johnson"," ","2325","84.2391","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","WRITE-IN"," ","20","0.7246","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 3","Adam Barr"," ","2127","96.0705","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 3","WRITE-IN"," ","87","3.9295","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 4","Jessica Reeves-Rush"," ","2253","97.8289","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 4","WRITE-IN"," ","50","2.1711","School"
"Tumwater School District No. 033 School Board Director, District No. 1","Jeff (Cowboy) Curry"," ","3852","37.1635","School"
"Tumwater School District No. 033 School Board Director, District No. 1","Jill Tokarczyk Adams"," ","6447","62.1997","School"
"Tumwater School District No. 033 School Board Director, District No. 1","WRITE-IN"," ","66","0.6368","School"
"Tumwater School District No. 033 School Board Director, District No. 2","Casey Taylor"," ","7393","91.7473","School"
"Tumwater School District No. 033 School Board Director, District No. 2","WRITE-IN"," ","665","8.2527","School"
"Tumwater School District No. 033 School Board Director, District No. 3","Scott Killough"," ","7849","97.7825","School"
"Tumwater School District No. 033 School Board Director, District No. 3","WRITE-IN"," ","178","2.2175","School"
"Yelm Community Schools School Board Director, District No. 2","Eric Heid"," ","1985","39.4711","School"
"Yelm Community Schools School Board Director, District No. 2","Casey Shaw"," ","2965","58.958","School"
"Yelm Community Schools School Board Director, District No. 2","WRITE-IN"," ","79","1.5709","School"
"Yelm Community Schools School Board Director, District No. 3","Allyn Verbal"," ","2065","40.6977","School"
"Yelm Community Schools School Board Director, District No. 3","Denise Hendrickson"," ","2973","58.5928","School"
"Yelm Community Schools School Board Director, District No. 3","WRITE-IN"," ","36","0.7095","School"
"Yelm Community Schools School Board Director, District No. 5","Bill Hauss"," ","2875","56.5722","School"
"Yelm Community Schools School Board Director, District No. 5","Karen (Kay) Anderson"," ","2170","42.6997","School"
"Yelm Community Schools School Board Director, District No. 5","WRITE-IN"," ","37","0.7281","School"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 3","Frank Kirkbride"," ","17238","98.5535","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 3","WRITE-IN"," ","253","1.4465","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 4","Liberty Hetzler"," ","16903","98.3247","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 4","WRITE-IN"," ","288","1.6753","Fire"
"Fire Protection District No. 06 - East Olympia Fire Commissioner, Position No. 3","Brandon Faust"," ","2774","98.0212","Fire"
"Fire Protection District No. 06 - East Olympia Fire Commissioner, Position No. 3","WRITE-IN"," ","56","1.9788","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 1","Gloria Zvirzdys"," ","3367","97.9348","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 1","WRITE-IN"," ","71","2.0652","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 2","Jake Hunter"," ","3423","98.3338","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 2","WRITE-IN"," ","58","1.6662","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 3","Len Albert"," ","3432","98.9619","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 3","WRITE-IN"," ","36","1.0381","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No.  4","Jason A. Foust"," ","3325","98.6647","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No.  4","WRITE-IN"," ","45","1.3353","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 5","Mark Thompson"," ","3431","98.8191","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 5","WRITE-IN"," ","41","1.1809","Fire"
"FIRE PROTECTION DISTRICT 12 Fire Commissioner, Position No. 4","James Freed"," ","1426","96.4817","Fire"
"FIRE PROTECTION DISTRICT 12 Fire Commissioner, Position No. 4","WRITE-IN"," ","52","3.5183","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 1","Arthur Dalessandro"," ","1843","98.8734","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 1","WRITE-IN"," ","21","1.1266","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 3","Dave Pearsall"," ","1853","98.774","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 3","WRITE-IN"," ","23","1.226","Fire"
"FIRE PROTECTION DISTRICT NO. 17 - BALD HILLS Fire Commissioner, Position No. 1","Harry W. Miller"," ","680","97.1429","Fire"
"FIRE PROTECTION DISTRICT NO. 17 - BALD HILLS Fire Commissioner, Position No. 1","WRITE-IN"," ","20","2.8571","Fire"
"SE Thurston Fire Authority Sub Region 1 Fire Commissioner, Position No. 2","David Shepherd"," ","3841","98.0848","Fire"
"SE Thurston Fire Authority Sub Region 1 Fire Commissioner, Position No. 2","WRITE-IN"," ","75","1.9152","Fire"
"SE Thurston Fire Authority Sub Region 2 Fire Commissioner, Position No. 2 ","Jeff DeHan"," ","3941","98.5004","Fire"
"SE Thurston Fire Authority Sub Region 2 Fire Commissioner, Position No. 2 ","WRITE-IN"," ","60","1.4996","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 1","Bill DeVore"," ","3735","97.3417","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 1","WRITE-IN"," ","102","2.6583","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 2","Steven Slater"," ","3875","98.5754","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 2","WRITE-IN"," ","56","1.4246","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY ROCHESTER Fire Commissioner, Position No. 1","Jeff Merryman"," ","1940","80.2648","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY ROCHESTER Fire Commissioner, Position No. 1","WRITE-IN"," ","477","19.7352","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY LITTLEROCK Fire Commissioner, Position No. 2","Michael Reed"," ","1725","86.8143","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY LITTLEROCK Fire Commissioner, Position No. 2","WRITE-IN"," ","262","13.1857","Fire"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 1","Dayv Lowry"," ","330","97.9228","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 1","WRITE-IN"," ","7","2.0772","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 5","Alexis Wallace"," ","291","94.4805","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 5","WRITE-IN"," ","17","5.5195","Park and Recreation"
"CEMETERY DISTRICT NO. 1 (GRAND MOUND) Cemetery Commissioner, Position No. 3","Marc S. Spiegelberg"," ","2698","98.3953","Cemetery"
"CEMETERY DISTRICT NO. 1 (GRAND MOUND) Cemetery Commissioner, Position No. 3","WRITE-IN"," ","44","1.6047","Cemetery"
"Cemetery District No. 2 (Yelm) Cemetery Commissioner, Position No. 3","Kristen Colt"," ","3332","94.3108","Cemetery"
"Cemetery District No. 2 (Yelm) Cemetery Commissioner, Position No. 3","WRITE-IN"," ","201","5.6892","Cemetery"
