"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"CITY OF YELM City Council, Position No. 1","WRITE-IN"," ","7","0.5742","City/Town"
"CITY OF YELM City Council, Position No. 2","Joseph Dale Richardson"," ","640","52.7617","City/Town"
"CITY OF YELM City Council, Position No. 2","Jerry Toompas"," ","565","46.5787","City/Town"
"CITY OF YELM City Council, Position No. 2","WRITE-IN"," ","8","0.6595","City/Town"
"CITY OF YELM City Council, Position No. 6","Trevor Palmer"," ","613","50.3284","City/Town"
"CITY OF YELM City Council, Position No. 6","Ashley Lea Brooks"," ","598","49.0969","City/Town"
"CITY OF YELM City Council, Position No. 6","WRITE-IN"," ","7","0.5747","City/Town"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 2","Maritza Bravo"," ","74","94.8718","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 2","WRITE-IN"," ","4","5.1282","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 3","Andrea Ware"," ","70","93.3333","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 3","WRITE-IN"," ","5","6.6667","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","Mandi McDougall"," ","36","36","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","Sarah Holmes"," ","62","62","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","WRITE-IN"," ","2","2","School"
"Griffin School District No. 324 School Board Director, Position No. 1","Matt Dorcy"," ","1184","44.528","School"
"Griffin School District No. 324 School Board Director, Position No. 1","Tesa Frevert"," ","1465","55.0959","School"
"Griffin School District No. 324 School Board Director, Position No. 1","WRITE-IN"," ","10","0.3761","School"
"Griffin School District No. 324 School Board Director, Position No. 2","Emma Rose"," ","1945","96.9108","School"
"Griffin School District No. 324 School Board Director, Position No. 2","WRITE-IN"," ","62","3.0892","School"
"Griffin School District No. 324 School Board Director, Position No. 3","David Kangiser"," ","1018","41.2313","School"
"Griffin School District No. 324 School Board Director, Position No. 3","Blair Baker"," ","1430","57.9182","School"
"Griffin School District No. 324 School Board Director, Position No. 3","WRITE-IN"," ","21","0.8505","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","Veronica Shriver"," ","11097","47.115","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","Gretchen Maliska"," ","12346","52.418","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","WRITE-IN"," ","110","0.467","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","Stephanie Scott"," ","10866","46.5593","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","Esperanza A. Badillo-Diiorio"," ","12319","52.7852","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","WRITE-IN"," ","153","0.6556","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","Michelle J. Gipson"," ","12185","51.507","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","David G. Newkirk"," ","11373","48.0746","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","WRITE-IN"," ","99","0.4185","School"
"Olympia School District No. 111 School Board Director, District No. 1","Maria R. Flores"," ","13093","61.0396","School"
"Olympia School District No. 111 School Board Director, District No. 1","Talauna Reed"," ","7510","35.0117","School"
"Olympia School District No. 111 School Board Director, District No. 1","WRITE-IN"," ","847","3.9487","School"
"Olympia School District No. 111 School Board Director, District No. 2","Jess Tourtellotte-Palumbo"," ","12759","59.1324","School"
"Olympia School District No. 111 School Board Director, District No. 2","Frank Durocher"," ","8748","40.5432","School"
"Olympia School District No. 111 School Board Director, District No. 2","WRITE-IN"," ","70","0.3244","School"
"Olympia School District No. 111 School Board Director, District No. 4","Hilary Seidel"," ","12724","59.5247","School"
"Olympia School District No. 111 School Board Director, District No. 4","Leslie Van Leishout"," ","8526","39.8859","School"
"Olympia School District No. 111 School Board Director, District No. 4","WRITE-IN"," ","126","0.5894","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","Amanda Siemandel"," ","724","55.3517","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","Aaron Lang"," ","577","44.1131","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","WRITE-IN"," ","7","0.5352","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","Jerry F. Sprouffske"," ","724","53.4317","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","Jon Palmer"," ","624","46.0517","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","WRITE-IN"," ","7","0.5166","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","Dana Morgan Spivey"," ","915","68.2327","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","Brian Hackethal"," ","423","31.5436","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","WRITE-IN"," ","3","0.2237","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","Grant Rodeheaver"," ","1996","62.787","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","Wava Garza"," ","1161","36.5209","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","WRITE-IN"," ","22","0.692","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","Penelope Mena"," ","1369","42.808","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","Susie Hawes"," ","1806","56.4728","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","WRITE-IN"," ","23","0.7192","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","James Neil Turner"," ","1572","50.0637","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","Michael L. Morrow"," ","1546","49.2357","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","WRITE-IN"," ","22","0.7006","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","Ryan T. Hilton"," ","416","14.9051","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","Jennifer Johnson"," ","2354","84.3425","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","WRITE-IN"," ","21","0.7524","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 3","Adam Barr"," ","2153","96.0732","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 3","WRITE-IN"," ","88","3.9268","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 4","Jessica Reeves-Rush"," ","2280","97.8121","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 4","WRITE-IN"," ","51","2.1879","School"
"Tumwater School District No. 033 School Board Director, District No. 1","Jeff (Cowboy) Curry"," ","3918","37.1691","School"
"Tumwater School District No. 033 School Board Director, District No. 1","Jill Tokarczyk Adams"," ","6556","62.1952","School"
"Tumwater School District No. 033 School Board Director, District No. 1","WRITE-IN"," ","67","0.6356","School"
"Tumwater School District No. 033 School Board Director, District No. 2","Casey Taylor"," ","7514","91.5895","School"
"Tumwater School District No. 033 School Board Director, District No. 2","WRITE-IN"," ","690","8.4105","School"
"Tumwater School District No. 033 School Board Director, District No. 3","Scott Killough"," ","7993","97.7737","School"
"Tumwater School District No. 033 School Board Director, District No. 3","WRITE-IN"," ","182","2.2263","School"
"Yelm Community Schools School Board Director, District No. 2","Eric Heid"," ","2024","39.5313","School"
"Yelm Community Schools School Board Director, District No. 2","Casey Shaw"," ","3017","58.9258","School"
"Yelm Community Schools School Board Director, District No. 2","WRITE-IN"," ","79","1.543","School"
"Yelm Community Schools School Board Director, District No. 3","Allyn Verbal"," ","2108","40.8132","School"
"Yelm Community Schools School Board Director, District No. 3","Denise Hendrickson"," ","3021","58.4898","School"
"Yelm Community Schools School Board Director, District No. 3","WRITE-IN"," ","36","0.697","School"
"Yelm Community Schools School Board Director, District No. 5","Bill Hauss"," ","2937","56.7427","School"
"Yelm Community Schools School Board Director, District No. 5","Karen (Kay) Anderson"," ","2201","42.5232","School"
"Yelm Community Schools School Board Director, District No. 5","WRITE-IN"," ","38","0.7342","School"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 3","Frank Kirkbride"," ","17627","98.5464","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 3","WRITE-IN"," ","260","1.4536","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 4","Liberty Hetzler"," ","17285","98.3052","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 4","WRITE-IN"," ","298","1.6948","Fire"
"Fire Protection District No. 06 - East Olympia Fire Commissioner, Position No. 3","Brandon Faust"," ","2819","98.0522","Fire"
"Fire Protection District No. 06 - East Olympia Fire Commissioner, Position No. 3","WRITE-IN"," ","56","1.9478","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 1","Gloria Zvirzdys"," ","3477","97.9713","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 1","WRITE-IN"," ","72","2.0287","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 2","Jake Hunter"," ","3533","98.3575","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 2","WRITE-IN"," ","59","1.6425","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 3","Len Albert"," ","3532","98.9356","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 3","WRITE-IN"," ","38","1.0644","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No.  4","Jason A. Foust"," ","3423","98.6455","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No.  4","WRITE-IN"," ","47","1.3545","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 5","Mark Thompson"," ","3531","98.7969","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 5","WRITE-IN"," ","43","1.2031","Fire"
"FIRE PROTECTION DISTRICT 12 Fire Commissioner, Position No. 4","James Freed"," ","1442","96.4548","Fire"
"FIRE PROTECTION DISTRICT 12 Fire Commissioner, Position No. 4","WRITE-IN"," ","53","3.5452","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 1","Arthur Dalessandro"," ","1891","98.9017","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 1","WRITE-IN"," ","21","1.0983","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 3","Dave Pearsall"," ","1898","98.8027","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 3","WRITE-IN"," ","23","1.1973","Fire"
"FIRE PROTECTION DISTRICT NO. 17 - BALD HILLS Fire Commissioner, Position No. 1","Harry W. Miller"," ","695","97.2028","Fire"
"FIRE PROTECTION DISTRICT NO. 17 - BALD HILLS Fire Commissioner, Position No. 1","WRITE-IN"," ","20","2.7972","Fire"
"SE Thurston Fire Authority Sub Region 1 Fire Commissioner, Position No. 2","David Shepherd"," ","3913","98.1194","Fire"
"SE Thurston Fire Authority Sub Region 1 Fire Commissioner, Position No. 2","WRITE-IN"," ","75","1.8806","Fire"
"SE Thurston Fire Authority Sub Region 2 Fire Commissioner, Position No. 2 ","Jeff DeHan"," ","4015","98.5276","Fire"
"SE Thurston Fire Authority Sub Region 2 Fire Commissioner, Position No. 2 ","WRITE-IN"," ","60","1.4724","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 1","Bill DeVore"," ","3802","97.3624","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 1","WRITE-IN"," ","103","2.6376","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 2","Steven Slater"," ","3948","98.5768","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 2","WRITE-IN"," ","57","1.4232","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY ROCHESTER Fire Commissioner, Position No. 1","Jeff Merryman"," ","1964","79.805","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY ROCHESTER Fire Commissioner, Position No. 1","WRITE-IN"," ","497","20.195","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY LITTLEROCK Fire Commissioner, Position No. 2","Michael Reed"," ","1758","86.6437","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY LITTLEROCK Fire Commissioner, Position No. 2","WRITE-IN"," ","271","13.3563","Fire"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 1","Dayv Lowry"," ","342","97.7143","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 1","WRITE-IN"," ","8","2.2857","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 5","Alexis Wallace"," ","298","93.4169","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 5","WRITE-IN"," ","21","6.5831","Park and Recreation"
"CEMETERY DISTRICT NO. 1 (GRAND MOUND) Cemetery Commissioner, Position No. 3","Marc S. Spiegelberg"," ","2743","98.4212","Cemetery"
"CEMETERY DISTRICT NO. 1 (GRAND MOUND) Cemetery Commissioner, Position No. 3","WRITE-IN"," ","44","1.5788","Cemetery"
"Cemetery District No. 2 (Yelm) Cemetery Commissioner, Position No. 3","Kristen Colt"," ","3387","94.2142","Cemetery"
"Cemetery District No. 2 (Yelm) Cemetery Commissioner, Position No. 3","WRITE-IN"," ","208","5.7858","Cemetery"
