"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Approved"," ","40869","56.3547","County"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Rejected"," ","31652","43.6453","County"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Vivian Eason","(Prefers Independent Party)","36317","49.4701","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Wayne Fournier","(Prefers Democratic Party)","36829","50.1675","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","WRITE-IN"," ","266","0.3623","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Emily Clouse","(Prefers Democratic Party)","44183","59.9027","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Terry S. Ballard","(States No Party Preference)","29327","39.7611","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","WRITE-IN"," ","248","0.3362","Commissioner"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Jasmine Vasavada"," ","37274","51.8256","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Bill McGregor"," ","34354","47.7656","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","WRITE-IN"," ","294","0.4088","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Rose Chiu Gundersen"," ","35021","49.1557","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Maggie Sanders"," ","35869","50.346","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","WRITE-IN"," ","355","0.4983","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Sarah Tonge"," ","37449","52.8128","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Troy Kirby"," ","33156","46.7585","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","WRITE-IN"," ","304","0.4287","Port"
"Town of Bucoda Mayor","Robert F. Gordon"," ","106","100","City/Town"
"Town of Bucoda Mayor","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 1","Callie Carpenter"," ","95","98.9583","City/Town"
"Town of Bucoda Town Council, Position No. 1","WRITE-IN"," ","1","1.0417","City/Town"
"Town of Bucoda Town Council, Position No. 2","Steven Lyle"," ","93","97.8947","City/Town"
"Town of Bucoda Town Council, Position No. 2","WRITE-IN"," ","2","2.1053","City/Town"
"Town of Bucoda Town Council, Position No. 4","Michelle Layton"," ","96","100","City/Town"
"Town of Bucoda Town Council, Position No. 4","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 5","Kiersten Presley"," ","97","98.9796","City/Town"
"Town of Bucoda Town Council, Position No. 5","WRITE-IN"," ","1","1.0204","City/Town"
"CITY OF LACEY City Council, Position No. 1","Malcolm Miller"," ","9449","97.533","City/Town"
"CITY OF LACEY City Council, Position No. 1","WRITE-IN"," ","239","2.467","City/Town"
"CITY OF LACEY City Council, Position No. 2","Spencer Zeman"," ","4959","43.7494","City/Town"
"CITY OF LACEY City Council, Position No. 2","Lenny Greenstein"," ","6323","55.783","City/Town"
"CITY OF LACEY City Council, Position No. 2","WRITE-IN"," ","53","0.4676","City/Town"
"CITY OF LACEY City Council, Position No.  3","Nicolas Dunning"," ","7115","63.6234","City/Town"
"CITY OF LACEY City Council, Position No.  3","Ed Kunkel"," ","3969","35.4914","City/Town"
"CITY OF LACEY City Council, Position No.  3","WRITE-IN"," ","99","0.8853","City/Town"
"City of Olympia Mayor","Dontae Payne"," ","11159","69.5005","City/Town"
"City of Olympia Mayor","David Ross"," ","4825","30.0511","City/Town"
"City of Olympia Mayor","WRITE-IN"," ","72","0.4484","City/Town"
"City of Olympia City Council, Position No. 2","Yen Huynh"," ","11790","96.1978","City/Town"
"City of Olympia City Council, Position No. 2","WRITE-IN"," ","466","3.8022","City/Town"
"City of Olympia City Council, Position No. 3","Dani Madrone"," ","11807","96.2893","City/Town"
"City of Olympia City Council, Position No. 3","WRITE-IN"," ","455","3.7107","City/Town"
"City of Rainier City Council, Position No. 2","Damion Green"," ","246","49.2986","City/Town"
"City of Rainier City Council, Position No. 2","Ryan Roth"," ","247","49.499","City/Town"
"City of Rainier City Council, Position No. 2","WRITE-IN"," ","6","1.2024","City/Town"
"City of Rainier City Council, Position No. 4","Ron Kemp"," ","371","96.114","City/Town"
"City of Rainier City Council, Position No. 4","WRITE-IN"," ","15","3.886","City/Town"
"City of Tenino Mayor","David Watterson"," ","250","52.3013","City/Town"
"City of Tenino Mayor","Linda Gotovac"," ","226","47.2803","City/Town"
"City of Tenino Mayor","WRITE-IN"," ","2","0.4184","City/Town"
"City of Tenino City Council, Position No. 2","Elaine Klamn"," ","361","97.5676","City/Town"
"City of Tenino City Council, Position No. 2","WRITE-IN"," ","9","2.4324","City/Town"
"City of Tenino City Council, Position No. 5","Jeff Eisel"," ","354","97.5207","City/Town"
"City of Tenino City Council, Position No. 5","WRITE-IN"," ","9","2.4793","City/Town"
"City of Tumwater City Council, Position No. 1","Leatta Dahlhoff"," ","4599","97.4777","City/Town"
"City of Tumwater City Council, Position No. 1","WRITE-IN"," ","119","2.5223","City/Town"
"City of Tumwater City Council, Position No. 2","Angela Jefferson"," ","4699","97.9571","City/Town"
"City of Tumwater City Council, Position No. 2","WRITE-IN"," ","98","2.0429","City/Town"
"City of Tumwater City Council, Position No. 3","Doris Atkinson"," ","926","16.124","City/Town"
"City of Tumwater City Council, Position No. 3","Joan Cathey"," ","4746","82.6397","City/Town"
"City of Tumwater City Council, Position No. 3","WRITE-IN"," ","71","1.2363","City/Town"
"City of Tumwater City Council, Position No. 7","Andrea McGhee"," ","2885","47.2563","City/Town"
"City of Tumwater City Council, Position No. 7","Kelly Von Holtz"," ","3191","52.2686","City/Town"
"City of Tumwater City Council, Position No. 7","WRITE-IN"," ","29","0.475","City/Town"
"CITY OF YELM City Council, Position No. 1","Stephanie Kangiser"," ","594","48.7285","City/Town"
"CITY OF YELM City Council, Position No. 1","Tracey Wood"," ","618","50.6973","City/Town"
