"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"City of Olympia Mayor","Dontae Payne"," ","11150","69.5137","City/Town"
"City of Olympia Mayor","David Ross"," ","4818","30.0374","City/Town"
"City of Olympia Mayor","WRITE-IN"," ","72","0.4489","City/Town"
"City of Olympia City Council, Position No. 2","Yen Huynh"," ","11779","96.1944","City/Town"
"City of Olympia City Council, Position No. 2","WRITE-IN"," ","466","3.8056","City/Town"
"City of Olympia City Council, Position No. 3","Dani Madrone"," ","11797","96.2863","City/Town"
"City of Olympia City Council, Position No. 3","WRITE-IN"," ","455","3.7137","City/Town"
"City of Rainier City Council, Position No. 2","Damion Green"," ","246","49.3976","City/Town"
"City of Rainier City Council, Position No. 2","Ryan Roth"," ","246","49.3976","City/Town"
"City of Rainier City Council, Position No. 2","WRITE-IN"," ","6","1.2048","City/Town"
"City of Rainier City Council, Position No. 4","Ron Kemp"," ","370","96.1039","City/Town"
"City of Rainier City Council, Position No. 4","WRITE-IN"," ","15","3.8961","City/Town"
"City of Tenino Mayor","David Watterson"," ","250","52.4109","City/Town"
"City of Tenino Mayor","Linda Gotovac"," ","225","47.1698","City/Town"
"City of Tenino Mayor","WRITE-IN"," ","2","0.4193","City/Town"
"City of Tenino City Council, Position No. 2","Elaine Klamn"," ","361","97.5676","City/Town"
"City of Tenino City Council, Position No. 2","WRITE-IN"," ","9","2.4324","City/Town"
"City of Tenino City Council, Position No. 5","Jeff Eisel"," ","354","97.5207","City/Town"
"City of Tenino City Council, Position No. 5","WRITE-IN"," ","9","2.4793","City/Town"
"City of Tumwater City Council, Position No. 1","Leatta Dahlhoff"," ","4591","97.4735","City/Town"
"City of Tumwater City Council, Position No. 1","WRITE-IN"," ","119","2.5265","City/Town"
"City of Tumwater City Council, Position No. 2","Angela Jefferson"," ","4691","97.9536","City/Town"
"City of Tumwater City Council, Position No. 2","WRITE-IN"," ","98","2.0464","City/Town"
"City of Tumwater City Council, Position No. 3","Doris Atkinson"," ","926","16.1493","City/Town"
"City of Tumwater City Council, Position No. 3","Joan Cathey"," ","4737","82.6125","City/Town"
"City of Tumwater City Council, Position No. 3","WRITE-IN"," ","71","1.2382","City/Town"
"City of Tumwater City Council, Position No. 7","Andrea McGhee"," ","2881","47.2605","City/Town"
"City of Tumwater City Council, Position No. 7","Kelly Von Holtz"," ","3186","52.2638","City/Town"
"City of Tumwater City Council, Position No. 7","WRITE-IN"," ","29","0.4757","City/Town"
"CITY OF YELM City Council, Position No. 1","Stephanie Kangiser"," ","594","48.7285","City/Town"
"CITY OF YELM City Council, Position No. 1","Tracey Wood"," ","618","50.6973","City/Town"
"CITY OF YELM City Council, Position No. 1","WRITE-IN"," ","7","0.5742","City/Town"
"CITY OF YELM City Council, Position No. 2","Joseph Dale Richardson"," ","640","52.7617","City/Town"
"CITY OF YELM City Council, Position No. 2","Jerry Toompas"," ","565","46.5787","City/Town"
"CITY OF YELM City Council, Position No. 2","WRITE-IN"," ","8","0.6595","City/Town"
"CITY OF YELM City Council, Position No. 6","Trevor Palmer"," ","613","50.3284","City/Town"
"CITY OF YELM City Council, Position No. 6","Ashley Lea Brooks"," ","598","49.0969","City/Town"
"CITY OF YELM City Council, Position No. 6","WRITE-IN"," ","7","0.5747","City/Town"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 2","Maritza Bravo"," ","73","94.8052","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 2","WRITE-IN"," ","4","5.1948","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 3","Andrea Ware"," ","69","93.2432","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 3","WRITE-IN"," ","5","6.7568","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","Mandi McDougall"," ","35","35.3535","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","Sarah Holmes"," ","62","62.6263","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","WRITE-IN"," ","2","2.0202","School"
"Griffin School District No. 324 School Board Director, Position No. 1","Matt Dorcy"," ","1177","44.5665","School"
"Griffin School District No. 324 School Board Director, Position No. 1","Tesa Frevert"," ","1454","55.0549","School"
"Griffin School District No. 324 School Board Director, Position No. 1","WRITE-IN"," ","10","0.3786","School"
"Griffin School District No. 324 School Board Director, Position No. 2","Emma Rose"," ","1930","96.8876","School"
"Griffin School District No. 324 School Board Director, Position No. 2","WRITE-IN"," ","62","3.1124","School"
"Griffin School District No. 324 School Board Director, Position No. 3","David Kangiser"," ","1006","41.0277","School"
"Griffin School District No. 324 School Board Director, Position No. 3","Blair Baker"," ","1425","58.1158","School"
"Griffin School District No. 324 School Board Director, Position No. 3","WRITE-IN"," ","21","0.8564","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","Veronica Shriver"," ","11047","47.1047","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","Gretchen Maliska"," ","12295","52.4262","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","WRITE-IN"," ","110","0.469","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","Stephanie Scott"," ","10812","46.5292","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","Esperanza A. Badillo-Diiorio"," ","12272","52.8123","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","WRITE-IN"," ","153","0.6584","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","Michelle J. Gipson"," ","12130","51.5031","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","David G. Newkirk"," ","11323","48.0766","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","WRITE-IN"," ","99","0.4203","School"
"Olympia School District No. 111 School Board Director, District No. 1","Maria R. Flores"," ","13062","61.0431","School"
"Olympia School District No. 111 School Board Director, District No. 1","Talauna Reed"," ","7492","35.0126","School"
"Olympia School District No. 111 School Board Director, District No. 1","WRITE-IN"," ","844","3.9443","School"
"Olympia School District No. 111 School Board Director, District No. 2","Jess Tourtellotte-Palumbo"," ","12730","59.1433","School"
"Olympia School District No. 111 School Board Director, District No. 2","Frank Durocher"," ","8724","40.5315","School"
"Olympia School District No. 111 School Board Director, District No. 2","WRITE-IN"," ","70","0.3252","School"
"Olympia School District No. 111 School Board Director, District No. 4","Hilary Seidel"," ","12698","59.5563","School"
"Olympia School District No. 111 School Board Director, District No. 4","Leslie Van Leishout"," ","8498","39.8574","School"
"Olympia School District No. 111 School Board Director, District No. 4","WRITE-IN"," ","125","0.5863","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","Amanda Siemandel"," ","722","55.4958","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","Aaron Lang"," ","572","43.9662","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","WRITE-IN"," ","7","0.538","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","Jerry F. Sprouffske"," ","720","53.4125","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","Jon Palmer"," ","621","46.0682","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","WRITE-IN"," ","7","0.5193","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","Dana Morgan Spivey"," ","910","68.2159","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","Brian Hackethal"," ","421","31.5592","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","WRITE-IN"," ","3","0.2249","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","Grant Rodeheaver"," ","1994","62.7834","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","Wava Garza"," ","1160","36.5239","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","WRITE-IN"," ","22","0.6927","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","Penelope Mena"," ","1368","42.8169","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","Susie Hawes"," ","1804","56.4632","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","WRITE-IN"," ","23","0.7199","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","James Neil Turner"," ","1570","50.0478","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","Michael L. Morrow"," ","1545","49.2509","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","WRITE-IN"," ","22","0.7013","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","Ryan T. Hilton"," ","416","14.9211","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","Jennifer Johnson"," ","2351","84.3257","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","WRITE-IN"," ","21","0.7532","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 3","Adam Barr"," ","2151","96.0697","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 3","WRITE-IN"," ","88","3.9303","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 4","Jessica Reeves-Rush"," ","2278","97.8102","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 4","WRITE-IN"," ","51","2.1898","School"
"Tumwater School District No. 033 School Board Director, District No. 1","Jeff (Cowboy) Curry"," ","3906","37.1469","School"
"Tumwater School District No. 033 School Board Director, District No. 1","Jill Tokarczyk Adams"," ","6542","62.2159","School"
"Tumwater School District No. 033 School Board Director, District No. 1","WRITE-IN"," ","67","0.6372","School"
"Tumwater School District No. 033 School Board Director, District No. 2","Casey Taylor"," ","7501","91.6432","School"
"Tumwater School District No. 033 School Board Director, District No. 2","WRITE-IN"," ","684","8.3568","School"
"Tumwater School District No. 033 School Board Director, District No. 3","Scott Killough"," ","7972","97.792","School"
"Tumwater School District No. 033 School Board Director, District No. 3","WRITE-IN"," ","180","2.208","School"
"Yelm Community Schools School Board Director, District No. 2","Eric Heid"," ","2017","39.518","School"
"Yelm Community Schools School Board Director, District No. 2","Casey Shaw"," ","3008","58.9342","School"
"Yelm Community Schools School Board Director, District No. 2","WRITE-IN"," ","79","1.5478","School"
"Yelm Community Schools School Board Director, District No. 3","Allyn Verbal"," ","2098","40.7458","School"
"Yelm Community Schools School Board Director, District No. 3","Denise Hendrickson"," ","3015","58.5551","School"
"Yelm Community Schools School Board Director, District No. 3","WRITE-IN"," ","36","0.6992","School"
"Yelm Community Schools School Board Director, District No. 5","Bill Hauss"," ","2927","56.7248","School"
"Yelm Community Schools School Board Director, District No. 5","Karen (Kay) Anderson"," ","2196","42.5581","School"
"Yelm Community Schools School Board Director, District No. 5","WRITE-IN"," ","37","0.7171","School"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 3","Frank Kirkbride"," ","17554","98.546","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 3","WRITE-IN"," ","259","1.454","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 4","Liberty Hetzler"," ","17212","98.3093","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 4","WRITE-IN"," ","296","1.6907","Fire"
"Fire Protection District No. 06 - East Olympia Fire Commissioner, Position No. 3","Brandon Faust"," ","2812","98.0474","Fire"
"Fire Protection District No. 06 - East Olympia Fire Commissioner, Position No. 3","WRITE-IN"," ","56","1.9526","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 1","Gloria Zvirzdys"," ","3448","97.9545","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 1","WRITE-IN"," ","72","2.0455","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 2","Jake Hunter"," ","3504","98.3441","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 2","WRITE-IN"," ","59","1.6559","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 3","Len Albert"," ","3510","98.9569","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 3","WRITE-IN"," ","37","1.0431","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No.  4","Jason A. Foust"," ","3402","98.6659","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No.  4","WRITE-IN"," ","46","1.3341","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 5","Mark Thompson"," ","3509","98.8172","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 5","WRITE-IN"," ","42","1.1828","Fire"
"FIRE PROTECTION DISTRICT 12 Fire Commissioner, Position No. 4","James Freed"," ","1441","96.4525","Fire"
"FIRE PROTECTION DISTRICT 12 Fire Commissioner, Position No. 4","WRITE-IN"," ","53","3.5475","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 1","Arthur Dalessandro"," ","1875","98.8924","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 1","WRITE-IN"," ","21","1.1076","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 3","Dave Pearsall"," ","1884","98.7939","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 3","WRITE-IN"," ","23","1.2061","Fire"
"FIRE PROTECTION DISTRICT NO. 17 - BALD HILLS Fire Commissioner, Position No. 1","Harry W. Miller"," ","690","97.1831","Fire"
"FIRE PROTECTION DISTRICT NO. 17 - BALD HILLS Fire Commissioner, Position No. 1","WRITE-IN"," ","20","2.8169","Fire"
"SE Thurston Fire Authority Sub Region 1 Fire Commissioner, Position No. 2","David Shepherd"," ","3901","98.1137","Fire"
"SE Thurston Fire Authority Sub Region 1 Fire Commissioner, Position No. 2","WRITE-IN"," ","75","1.8863","Fire"
"SE Thurston Fire Authority Sub Region 2 Fire Commissioner, Position No. 2 ","Jeff DeHan"," ","4002","98.5229","Fire"
"SE Thurston Fire Authority Sub Region 2 Fire Commissioner, Position No. 2 ","WRITE-IN"," ","60","1.4771","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 1","Bill DeVore"," ","3790","97.3542","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 1","WRITE-IN"," ","103","2.6458","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 2","Steven Slater"," ","3936","98.5972","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 2","WRITE-IN"," ","56","1.4028","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY ROCHESTER Fire Commissioner, Position No. 1","Jeff Merryman"," ","1963","79.8617","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY ROCHESTER Fire Commissioner, Position No. 1","WRITE-IN"," ","495","20.1383","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY LITTLEROCK Fire Commissioner, Position No. 2","Michael Reed"," ","1754","86.7029","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY LITTLEROCK Fire Commissioner, Position No. 2","WRITE-IN"," ","269","13.2971","Fire"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 1","Dayv Lowry"," ","340","97.7011","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 1","WRITE-IN"," ","8","2.2989","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 5","Alexis Wallace"," ","296","93.3754","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 5","WRITE-IN"," ","21","6.6246","Park and Recreation"
"CEMETERY DISTRICT NO. 1 (GRAND MOUND) Cemetery Commissioner, Position No. 3","Marc S. Spiegelberg"," ","2740","98.4195","Cemetery"
"CEMETERY DISTRICT NO. 1 (GRAND MOUND) Cemetery Commissioner, Position No. 3","WRITE-IN"," ","44","1.5805","Cemetery"
"Cemetery District No. 2 (Yelm) Cemetery Commissioner, Position No. 3","Kristen Colt"," ","3373","94.1916","Cemetery"
"Cemetery District No. 2 (Yelm) Cemetery Commissioner, Position No. 3","WRITE-IN"," ","208","5.8084","Cemetery"
