"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Approved"," ","40750","56.3702","County"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Rejected"," ","31540","43.6298","County"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Vivian Eason","(Prefers Independent Party)","36196","49.4636","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Wayne Fournier","(Prefers Democratic Party)","36716","50.1742","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","WRITE-IN"," ","265","0.3621","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Emily Clouse","(Prefers Democratic Party)","44045","59.9081","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Terry S. Ballard","(States No Party Preference)","29229","39.756","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","WRITE-IN"," ","247","0.336","Commissioner"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Jasmine Vasavada"," ","37152","51.8239","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Bill McGregor"," ","34245","47.7688","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","WRITE-IN"," ","292","0.4073","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Rose Chiu Gundersen"," ","34897","49.1431","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Maggie Sanders"," ","35760","50.3584","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","WRITE-IN"," ","354","0.4985","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Sarah Tonge"," ","37343","52.8361","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Troy Kirby"," ","33030","46.7337","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","WRITE-IN"," ","304","0.4301","Port"
"Town of Bucoda Mayor","Robert F. Gordon"," ","106","100","City/Town"
"Town of Bucoda Mayor","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 1","Callie Carpenter"," ","95","98.9583","City/Town"
"Town of Bucoda Town Council, Position No. 1","WRITE-IN"," ","1","1.0417","City/Town"
"Town of Bucoda Town Council, Position No. 2","Steven Lyle"," ","93","97.8947","City/Town"
"Town of Bucoda Town Council, Position No. 2","WRITE-IN"," ","2","2.1053","City/Town"
"Town of Bucoda Town Council, Position No. 4","Michelle Layton"," ","96","100","City/Town"
"Town of Bucoda Town Council, Position No. 4","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 5","Kiersten Presley"," ","97","98.9796","City/Town"
"Town of Bucoda Town Council, Position No. 5","WRITE-IN"," ","1","1.0204","City/Town"
"CITY OF LACEY City Council, Position No. 1","Malcolm Miller"," ","9402","97.5412","City/Town"
"CITY OF LACEY City Council, Position No. 1","WRITE-IN"," ","237","2.4588","City/Town"
"CITY OF LACEY City Council, Position No. 2","Spencer Zeman"," ","4936","43.755","City/Town"
"CITY OF LACEY City Council, Position No. 2","Lenny Greenstein"," ","6294","55.7929","City/Town"
"CITY OF LACEY City Council, Position No. 2","WRITE-IN"," ","51","0.4521","City/Town"
"CITY OF LACEY City Council, Position No.  3","Nicolas Dunning"," ","7081","63.6323","City/Town"
"CITY OF LACEY City Council, Position No.  3","Ed Kunkel"," ","3950","35.496","City/Town"
"CITY OF LACEY City Council, Position No.  3","WRITE-IN"," ","97","0.8717","City/Town"
