"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Approved"," ","39495","56.4569","County"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Rejected"," ","30461","43.5431","County"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Vivian Eason","(Prefers Independent Party)","35063","49.5359","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Wayne Fournier","(Prefers Democratic Party)","35465","50.1038","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","WRITE-IN"," ","255","0.3603","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Emily Clouse","(Prefers Democratic Party)","42490","59.7651","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Terry S. Ballard","(States No Party Preference)","28366","39.8987","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","WRITE-IN"," ","239","0.3362","Commissioner"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Jasmine Vasavada"," ","35850","51.7189","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Bill McGregor"," ","33181","47.8685","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","WRITE-IN"," ","286","0.4126","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Rose Chiu Gundersen"," ","33771","49.1808","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Maggie Sanders"," ","34553","50.3197","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","WRITE-IN"," ","343","0.4995","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Sarah Tonge"," ","36049","52.7418","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Troy Kirby"," ","32004","46.8237","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","WRITE-IN"," ","297","0.4345","Port"
"Town of Bucoda Mayor","Robert F. Gordon"," ","104","100","City/Town"
"Town of Bucoda Mayor","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 1","Callie Carpenter"," ","93","98.9362","City/Town"
"Town of Bucoda Town Council, Position No. 1","WRITE-IN"," ","1","1.0638","City/Town"
"Town of Bucoda Town Council, Position No. 2","Steven Lyle"," ","91","97.8495","City/Town"
"Town of Bucoda Town Council, Position No. 2","WRITE-IN"," ","2","2.1505","City/Town"
