"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Town of Bucoda Town Council, Position No. 4","Michelle Layton"," ","94","100","City/Town"
"Town of Bucoda Town Council, Position No. 4","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 5","Kiersten Presley"," ","95","98.9583","City/Town"
"Town of Bucoda Town Council, Position No. 5","WRITE-IN"," ","1","1.0417","City/Town"
"CITY OF LACEY City Council, Position No. 1","Malcolm Miller"," ","9009","97.5634","City/Town"
"CITY OF LACEY City Council, Position No. 1","WRITE-IN"," ","225","2.4366","City/Town"
"CITY OF LACEY City Council, Position No. 2","Spencer Zeman"," ","4710","43.5869","City/Town"
"CITY OF LACEY City Council, Position No. 2","Lenny Greenstein"," ","6046","55.9504","City/Town"
"CITY OF LACEY City Council, Position No. 2","WRITE-IN"," ","50","0.4627","City/Town"
"CITY OF LACEY City Council, Position No.  3","Nicolas Dunning"," ","6783","63.5588","City/Town"
"CITY OF LACEY City Council, Position No.  3","Ed Kunkel"," ","3798","35.5885","City/Town"
"CITY OF LACEY City Council, Position No.  3","WRITE-IN"," ","91","0.8527","City/Town"
"City of Olympia Mayor","Dontae Payne"," ","10687","69.5497","City/Town"
"City of Olympia Mayor","David Ross"," ","4609","29.9948","City/Town"
"City of Olympia Mayor","WRITE-IN"," ","70","0.4556","City/Town"
"City of Olympia City Council, Position No. 2","Yen Huynh"," ","11279","96.2536","City/Town"
"City of Olympia City Council, Position No. 2","WRITE-IN"," ","439","3.7464","City/Town"
"City of Olympia City Council, Position No. 3","Dani Madrone"," ","11308","96.3531","City/Town"
"City of Olympia City Council, Position No. 3","WRITE-IN"," ","428","3.6469","City/Town"
"City of Rainier City Council, Position No. 2","Damion Green"," ","240","49.6894","City/Town"
"City of Rainier City Council, Position No. 2","Ryan Roth"," ","237","49.0683","City/Town"
"City of Rainier City Council, Position No. 2","WRITE-IN"," ","6","1.2422","City/Town"
"City of Rainier City Council, Position No. 4","Ron Kemp"," ","359","96.2466","City/Town"
"City of Rainier City Council, Position No. 4","WRITE-IN"," ","14","3.7534","City/Town"
"City of Tenino Mayor","David Watterson"," ","242","52.8384","City/Town"
"City of Tenino Mayor","Linda Gotovac"," ","214","46.7249","City/Town"
"City of Tenino Mayor","WRITE-IN"," ","2","0.4367","City/Town"
"City of Tenino City Council, Position No. 2","Elaine Klamn"," ","346","97.7401","City/Town"
"City of Tenino City Council, Position No. 2","WRITE-IN"," ","8","2.2599","City/Town"
"City of Tenino City Council, Position No. 5","Jeff Eisel"," ","340","97.7011","City/Town"
"City of Tenino City Council, Position No. 5","WRITE-IN"," ","8","2.2989","City/Town"
"City of Tumwater City Council, Position No. 1","Leatta Dahlhoff"," ","4459","97.4858","City/Town"
"City of Tumwater City Council, Position No. 1","WRITE-IN"," ","115","2.5142","City/Town"
"City of Tumwater City Council, Position No. 2","Angela Jefferson"," ","4556","97.9574","City/Town"
"City of Tumwater City Council, Position No. 2","WRITE-IN"," ","95","2.0426","City/Town"
"City of Tumwater City Council, Position No. 3","Doris Atkinson"," ","889","15.9777","City/Town"
"City of Tumwater City Council, Position No. 3","Joan Cathey"," ","4605","82.7642","City/Town"
"City of Tumwater City Council, Position No. 3","WRITE-IN"," ","70","1.2581","City/Town"
"City of Tumwater City Council, Position No. 7","Andrea McGhee"," ","2802","47.3391","City/Town"
"City of Tumwater City Council, Position No. 7","Kelly Von Holtz"," ","3089","52.1879","City/Town"
"City of Tumwater City Council, Position No. 7","WRITE-IN"," ","28","0.4731","City/Town"
"CITY OF YELM City Council, Position No. 1","Stephanie Kangiser"," ","571","48.4309","City/Town"
"CITY OF YELM City Council, Position No. 1","Tracey Wood"," ","601","50.9754","City/Town"
"CITY OF YELM City Council, Position No. 1","WRITE-IN"," ","7","0.5937","City/Town"
"CITY OF YELM City Council, Position No. 2","Joseph Dale Richardson"," ","617","52.6002","City/Town"
"CITY OF YELM City Council, Position No. 2","Jerry Toompas"," ","548","46.7178","City/Town"
"CITY OF YELM City Council, Position No. 2","WRITE-IN"," ","8","0.682","City/Town"
"CITY OF YELM City Council, Position No. 6","Trevor Palmer"," ","591","50.1272","City/Town"
"CITY OF YELM City Council, Position No. 6","Ashley Lea Brooks"," ","581","49.2791","City/Town"
"CITY OF YELM City Council, Position No. 6","WRITE-IN"," ","7","0.5937","City/Town"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 2","Maritza Bravo"," ","69","94.5205","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 2","WRITE-IN"," ","4","5.4795","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 3","Andrea Ware"," ","66","92.9577","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 3","WRITE-IN"," ","5","7.0423","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","Mandi McDougall"," ","32","33.6842","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","Sarah Holmes"," ","61","64.2105","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","WRITE-IN"," ","2","2.1053","School"
"Griffin School District No. 324 School Board Director, Position No. 1","Matt Dorcy"," ","1154","44.7808","School"
"Griffin School District No. 324 School Board Director, Position No. 1","Tesa Frevert"," ","1413","54.8312","School"
"Griffin School District No. 324 School Board Director, Position No. 1","WRITE-IN"," ","10","0.388","School"
"Griffin School District No. 324 School Board Director, Position No. 2","Emma Rose"," ","1880","96.8074","School"
"Griffin School District No. 324 School Board Director, Position No. 2","WRITE-IN"," ","62","3.1926","School"
"Griffin School District No. 324 School Board Director, Position No. 3","David Kangiser"," ","967","40.4433","School"
"Griffin School District No. 324 School Board Director, Position No. 3","Blair Baker"," ","1403","58.6784","School"
"Griffin School District No. 324 School Board Director, Position No. 3","WRITE-IN"," ","21","0.8783","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","Veronica Shriver"," ","10684","47.145","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","Gretchen Maliska"," ","11873","52.3917","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","WRITE-IN"," ","105","0.4633","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","Stephanie Scott"," ","10493","46.7561","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","Esperanza A. Badillo-Diiorio"," ","11802","52.5889","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","WRITE-IN"," ","147","0.655","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","Michelle J. Gipson"," ","11645","51.1711","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","David G. Newkirk"," ","11017","48.4115","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","WRITE-IN"," ","95","0.4175","School"
"Olympia School District No. 111 School Board Director, District No. 1","Maria R. Flores"," ","12633","61.4266","School"
"Olympia School District No. 111 School Board Director, District No. 1","Talauna Reed"," ","7142","34.7272","School"
"Olympia School District No. 111 School Board Director, District No. 1","WRITE-IN"," ","791","3.8462","School"
"Olympia School District No. 111 School Board Director, District No. 2","Jess Tourtellotte-Palumbo"," ","12218","59.0612","School"
"Olympia School District No. 111 School Board Director, District No. 2","Frank Durocher"," ","8403","40.6197","School"
"Olympia School District No. 111 School Board Director, District No. 2","WRITE-IN"," ","66","0.319","School"
"Olympia School District No. 111 School Board Director, District No. 4","Hilary Seidel"," ","12252","59.8184","School"
"Olympia School District No. 111 School Board Director, District No. 4","Leslie Van Leishout"," ","8111","39.6006","School"
"Olympia School District No. 111 School Board Director, District No. 4","WRITE-IN"," ","119","0.581","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","Amanda Siemandel"," ","700","55.4675","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","Aaron Lang"," ","555","43.9778","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","WRITE-IN"," ","7","0.5547","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","Jerry F. Sprouffske"," ","704","53.8226","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","Jon Palmer"," ","597","45.6422","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","WRITE-IN"," ","7","0.5352","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","Dana Morgan Spivey"," ","880","68.0588","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","Brian Hackethal"," ","410","31.7092","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","WRITE-IN"," ","3","0.232","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","Grant Rodeheaver"," ","1942","62.7058","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","Wava Garza"," ","1134","36.6161","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","WRITE-IN"," ","21","0.6781","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","Penelope Mena"," ","1335","42.8296","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","Susie Hawes"," ","1759","56.4325","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","WRITE-IN"," ","23","0.7379","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","James Neil Turner"," ","1530","49.9837","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","Michael L. Morrow"," ","1509","49.2976","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","WRITE-IN"," ","22","0.7187","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","Ryan T. Hilton"," ","414","15.1371","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","Jennifer Johnson"," ","2301","84.1316","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","WRITE-IN"," ","20","0.7313","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 3","Adam Barr"," ","2105","96.1187","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 3","WRITE-IN"," ","85","3.8813","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 4","Jessica Reeves-Rush"," ","2229","97.8061","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 4","WRITE-IN"," ","50","2.1939","School"
"Tumwater School District No. 033 School Board Director, District No. 1","Jeff (Cowboy) Curry"," ","3799","37.0779","School"
"Tumwater School District No. 033 School Board Director, District No. 1","Jill Tokarczyk Adams"," ","6384","62.3072","School"
"Tumwater School District No. 033 School Board Director, District No. 1","WRITE-IN"," ","63","0.6149","School"
"Tumwater School District No. 033 School Board Director, District No. 2","Casey Taylor"," ","7315","91.8624","School"
"Tumwater School District No. 033 School Board Director, District No. 2","WRITE-IN"," ","648","8.1376","School"
"Tumwater School District No. 033 School Board Director, District No. 3","Scott Killough"," ","7758","97.7817","School"
"Tumwater School District No. 033 School Board Director, District No. 3","WRITE-IN"," ","176","2.2183","School"
"Yelm Community Schools School Board Director, District No. 2","Eric Heid"," ","1958","39.5396","School"
"Yelm Community Schools School Board Director, District No. 2","Casey Shaw"," ","2920","58.9661","School"
"Yelm Community Schools School Board Director, District No. 2","WRITE-IN"," ","74","1.4943","School"
"Yelm Community Schools School Board Director, District No. 3","Allyn Verbal"," ","2030","40.6244","School"
"Yelm Community Schools School Board Director, District No. 3","Denise Hendrickson"," ","2932","58.6752","School"
"Yelm Community Schools School Board Director, District No. 3","WRITE-IN"," ","35","0.7004","School"
"Yelm Community Schools School Board Director, District No. 5","Bill Hauss"," ","2833","56.626","School"
"Yelm Community Schools School Board Director, District No. 5","Karen (Kay) Anderson"," ","2133","42.6344","School"
"Yelm Community Schools School Board Director, District No. 5","WRITE-IN"," ","37","0.7396","School"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 3","Frank Kirkbride"," ","16923","98.5729","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 3","WRITE-IN"," ","245","1.4271","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 4","Liberty Hetzler"," ","16595","98.3407","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 4","WRITE-IN"," ","280","1.6593","Fire"
"Fire Protection District No. 06 - East Olympia Fire Commissioner, Position No. 3","Brandon Faust"," ","2760","98.0114","Fire"
"Fire Protection District No. 06 - East Olympia Fire Commissioner, Position No. 3","WRITE-IN"," ","56","1.9886","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 1","Gloria Zvirzdys"," ","3340","97.9185","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 1","WRITE-IN"," ","71","2.0815","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 2","Jake Hunter"," ","3397","98.3213","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 2","WRITE-IN"," ","58","1.6787","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 3","Len Albert"," ","3408","98.9547","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 3","WRITE-IN"," ","36","1.0453","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No.  4","Jason A. Foust"," ","3300","98.6547","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No.  4","WRITE-IN"," ","45","1.3453","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 5","Mark Thompson"," ","3408","98.8112","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 5","WRITE-IN"," ","41","1.1888","Fire"
"FIRE PROTECTION DISTRICT 12 Fire Commissioner, Position No. 4","James Freed"," ","1406","96.4997","Fire"
"FIRE PROTECTION DISTRICT 12 Fire Commissioner, Position No. 4","WRITE-IN"," ","51","3.5003","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 1","Arthur Dalessandro"," ","1835","98.8685","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 1","WRITE-IN"," ","21","1.1315","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 3","Dave Pearsall"," ","1845","98.7687","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 3","WRITE-IN"," ","23","1.2313","Fire"
"FIRE PROTECTION DISTRICT NO. 17 - BALD HILLS Fire Commissioner, Position No. 1","Harry W. Miller"," ","672","97.3913","Fire"
"FIRE PROTECTION DISTRICT NO. 17 - BALD HILLS Fire Commissioner, Position No. 1","WRITE-IN"," ","18","2.6087","Fire"
"SE Thurston Fire Authority Sub Region 1 Fire Commissioner, Position No. 2","David Shepherd"," ","3787","98.1597","Fire"
"SE Thurston Fire Authority Sub Region 1 Fire Commissioner, Position No. 2","WRITE-IN"," ","71","1.8403","Fire"
"SE Thurston Fire Authority Sub Region 2 Fire Commissioner, Position No. 2 ","Jeff DeHan"," ","3885","98.579","Fire"
"SE Thurston Fire Authority Sub Region 2 Fire Commissioner, Position No. 2 ","WRITE-IN"," ","56","1.421","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 1","Bill DeVore"," ","3681","97.4067","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 1","WRITE-IN"," ","98","2.5933","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 2","Steven Slater"," ","3820","98.6316","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 2","WRITE-IN"," ","53","1.3684","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY ROCHESTER Fire Commissioner, Position No. 1","Jeff Merryman"," ","1927","80.6276","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY ROCHESTER Fire Commissioner, Position No. 1","WRITE-IN"," ","463","19.3724","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY LITTLEROCK Fire Commissioner, Position No. 2","Michael Reed"," ","1714","86.8728","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY LITTLEROCK Fire Commissioner, Position No. 2","WRITE-IN"," ","259","13.1272","Fire"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 1","Dayv Lowry"," ","324","97.8852","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 1","WRITE-IN"," ","7","2.1148","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 5","Alexis Wallace"," ","287","94.4079","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 5","WRITE-IN"," ","17","5.5921","Park and Recreation"
"CEMETERY DISTRICT NO. 1 (GRAND MOUND) Cemetery Commissioner, Position No. 3","Marc S. Spiegelberg"," ","2669","98.3782","Cemetery"
"CEMETERY DISTRICT NO. 1 (GRAND MOUND) Cemetery Commissioner, Position No. 3","WRITE-IN"," ","44","1.6218","Cemetery"
"Cemetery District No. 2 (Yelm) Cemetery Commissioner, Position No. 3","Kristen Colt"," ","3287","94.454","Cemetery"
"Cemetery District No. 2 (Yelm) Cemetery Commissioner, Position No. 3","WRITE-IN"," ","193","5.546","Cemetery"
