"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"CITY OF YELM City Council, Position No. 2","Joseph Dale Richardson"," ","517","52.3279","City/Town"
"CITY OF YELM City Council, Position No. 2","Jerry Toompas"," ","464","46.9636","City/Town"
"CITY OF YELM City Council, Position No. 2","WRITE-IN"," ","7","0.7085","City/Town"
"CITY OF YELM City Council, Position No. 6","Trevor Palmer"," ","493","49.6475","City/Town"
"CITY OF YELM City Council, Position No. 6","Ashley Lea Brooks"," ","495","49.8489","City/Town"
"CITY OF YELM City Council, Position No. 6","WRITE-IN"," ","5","0.5035","City/Town"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 2","Maritza Bravo"," ","52","96.2963","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 2","WRITE-IN"," ","2","3.7037","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 3","Andrea Ware"," ","49","96.0784","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 3","WRITE-IN"," ","2","3.9216","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","Mandi McDougall"," ","22","30.9859","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","Sarah Holmes"," ","49","69.0141","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","WRITE-IN"," ","0","0","School"
"Griffin School District No. 324 School Board Director, Position No. 1","Matt Dorcy"," ","870","45.9345","School"
"Griffin School District No. 324 School Board Director, Position No. 1","Tesa Frevert"," ","1017","53.6959","School"
"Griffin School District No. 324 School Board Director, Position No. 1","WRITE-IN"," ","7","0.3696","School"
"Griffin School District No. 324 School Board Director, Position No. 2","Emma Rose"," ","1386","96.9909","School"
"Griffin School District No. 324 School Board Director, Position No. 2","WRITE-IN"," ","43","3.0091","School"
"Griffin School District No. 324 School Board Director, Position No. 3","David Kangiser"," ","722","41.0227","School"
"Griffin School District No. 324 School Board Director, Position No. 3","Blair Baker"," ","1021","58.0114","School"
"Griffin School District No. 324 School Board Director, Position No. 3","WRITE-IN"," ","17","0.9659","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","Veronica Shriver"," ","8964","46.8657","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","Gretchen Maliska"," ","10072","52.6585","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","WRITE-IN"," ","91","0.4758","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","Stephanie Scott"," ","8862","46.7676","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","Esperanza A. Badillo-Diiorio"," ","9958","52.5516","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","WRITE-IN"," ","129","0.6808","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","Michelle J. Gipson"," ","9768","50.8697","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","David G. Newkirk"," ","9353","48.7085","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","WRITE-IN"," ","81","0.4218","School"
"Olympia School District No. 111 School Board Director, District No. 1","Maria R. Flores"," ","11095","62.0214","School"
"Olympia School District No. 111 School Board Director, District No. 1","Talauna Reed"," ","6130","34.2669","School"
"Olympia School District No. 111 School Board Director, District No. 1","WRITE-IN"," ","664","3.7118","School"
"Olympia School District No. 111 School Board Director, District No. 2","Jess Tourtellotte-Palumbo"," ","10636","59.148","School"
"Olympia School District No. 111 School Board Director, District No. 2","Frank Durocher"," ","7295","40.5683","School"
"Olympia School District No. 111 School Board Director, District No. 2","WRITE-IN"," ","51","0.2836","School"
"Olympia School District No. 111 School Board Director, District No. 4","Hilary Seidel"," ","10768","60.4265","School"
"Olympia School District No. 111 School Board Director, District No. 4","Leslie Van Leishout"," ","6955","39.0292","School"
"Olympia School District No. 111 School Board Director, District No. 4","WRITE-IN"," ","97","0.5443","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","Amanda Siemandel"," ","569","57.1859","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","Aaron Lang"," ","419","42.1106","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","WRITE-IN"," ","7","0.7035","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","Jerry F. Sprouffske"," ","570","55.4475","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","Jon Palmer"," ","452","43.9689","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","WRITE-IN"," ","6","0.5837","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","Dana Morgan Spivey"," ","713","69.8335","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","Brian Hackethal"," ","305","29.8727","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","WRITE-IN"," ","3","0.2938","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","Grant Rodeheaver"," ","1461","62.356","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","Wava Garza"," ","866","36.9612","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","WRITE-IN"," ","16","0.6829","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","Penelope Mena"," ","986","41.9218","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","Susie Hawes"," ","1348","57.3129","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","WRITE-IN"," ","18","0.7653","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","James Neil Turner"," ","1147","49.7398","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","Michael L. Morrow"," ","1142","49.523","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","WRITE-IN"," ","17","0.7372","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","Ryan T. Hilton"," ","341","15.23","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","Jennifer Johnson"," ","1885","84.1894","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","WRITE-IN"," ","13","0.5806","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 3","Adam Barr"," ","1728","96.2138","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 3","WRITE-IN"," ","68","3.7862","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 4","Jessica Reeves-Rush"," ","1836","97.8157","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 4","WRITE-IN"," ","41","2.1843","School"
"Tumwater School District No. 033 School Board Director, District No. 1","Jeff (Cowboy) Curry"," ","3084","36.7099","School"
"Tumwater School District No. 033 School Board Director, District No. 1","Jill Tokarczyk Adams"," ","5271","62.7425","School"
"Tumwater School District No. 033 School Board Director, District No. 1","WRITE-IN"," ","46","0.5476","School"
"Tumwater School District No. 033 School Board Director, District No. 2","Casey Taylor"," ","6050","92.3664","School"
"Tumwater School District No. 033 School Board Director, District No. 2","WRITE-IN"," ","500","7.6336","School"
"Tumwater School District No. 033 School Board Director, District No. 3","Scott Killough"," ","6395","97.9776","School"
"Tumwater School District No. 033 School Board Director, District No. 3","WRITE-IN"," ","132","2.0224","School"
"Yelm Community Schools School Board Director, District No. 2","Eric Heid"," ","1582","40.3366","School"
"Yelm Community Schools School Board Director, District No. 2","Casey Shaw"," ","2288","58.3376","School"
"Yelm Community Schools School Board Director, District No. 2","WRITE-IN"," ","52","1.3259","School"
"Yelm Community Schools School Board Director, District No. 3","Allyn Verbal"," ","1592","40.0503","School"
"Yelm Community Schools School Board Director, District No. 3","Denise Hendrickson"," ","2360","59.3711","School"
"Yelm Community Schools School Board Director, District No. 3","WRITE-IN"," ","23","0.5786","School"
"Yelm Community Schools School Board Director, District No. 5","Bill Hauss"," ","2261","56.6951","School"
"Yelm Community Schools School Board Director, District No. 5","Karen (Kay) Anderson"," ","1703","42.7031","School"
"Yelm Community Schools School Board Director, District No. 5","WRITE-IN"," ","24","0.6018","School"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 3","Frank Kirkbride"," ","14481","98.5706","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 3","WRITE-IN"," ","210","1.4294","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 4","Liberty Hetzler"," ","14217","98.3059","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 4","WRITE-IN"," ","245","1.6941","Fire"
"Fire Protection District No. 06 - East Olympia Fire Commissioner, Position No. 3","Brandon Faust"," ","2264","98.0511","Fire"
"Fire Protection District No. 06 - East Olympia Fire Commissioner, Position No. 3","WRITE-IN"," ","45","1.9489","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 1","Gloria Zvirzdys"," ","2528","97.9845","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 1","WRITE-IN"," ","52","2.0155","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 2","Jake Hunter"," ","2563","98.5012","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 2","WRITE-IN"," ","39","1.4988","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 3","Len Albert"," ","2657","98.8835","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 3","WRITE-IN"," ","30","1.1165","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No.  4","Jason A. Foust"," ","2570","98.5429","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No.  4","WRITE-IN"," ","38","1.4571","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 5","Mark Thompson"," ","2658","98.737","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 5","WRITE-IN"," ","34","1.263","Fire"
"FIRE PROTECTION DISTRICT 12 Fire Commissioner, Position No. 4","James Freed"," ","1139","96.8537","Fire"
"FIRE PROTECTION DISTRICT 12 Fire Commissioner, Position No. 4","WRITE-IN"," ","37","3.1463","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 1","Arthur Dalessandro"," ","1352","98.9751","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 1","WRITE-IN"," ","14","1.0249","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 3","Dave Pearsall"," ","1361","98.6947","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 3","WRITE-IN"," ","18","1.3053","Fire"
"FIRE PROTECTION DISTRICT NO. 17 - BALD HILLS Fire Commissioner, Position No. 1","Harry W. Miller"," ","558","97.8947","Fire"
"FIRE PROTECTION DISTRICT NO. 17 - BALD HILLS Fire Commissioner, Position No. 1","WRITE-IN"," ","12","2.1053","Fire"
"SE Thurston Fire Authority Sub Region 1 Fire Commissioner, Position No. 2","David Shepherd"," ","3002","98.2009","Fire"
"SE Thurston Fire Authority Sub Region 1 Fire Commissioner, Position No. 2","WRITE-IN"," ","55","1.7991","Fire"
"SE Thurston Fire Authority Sub Region 2 Fire Commissioner, Position No. 2 ","Jeff DeHan"," ","3083","98.656","Fire"
"SE Thurston Fire Authority Sub Region 2 Fire Commissioner, Position No. 2 ","WRITE-IN"," ","42","1.344","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 1","Bill DeVore"," ","2913","97.5553","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 1","WRITE-IN"," ","73","2.4447","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 2","Steven Slater"," ","3019","98.6279","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 2","WRITE-IN"," ","42","1.3721","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY ROCHESTER Fire Commissioner, Position No. 1","Jeff Merryman"," ","1492","81.3966","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY ROCHESTER Fire Commissioner, Position No. 1","WRITE-IN"," ","341","18.6034","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY LITTLEROCK Fire Commissioner, Position No. 2","Michael Reed"," ","1274","85.7335","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY LITTLEROCK Fire Commissioner, Position No. 2","WRITE-IN"," ","212","14.2665","Fire"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 1","Dayv Lowry"," ","276","97.5265","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 1","WRITE-IN"," ","7","2.4735","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 5","Alexis Wallace"," ","244","94.5736","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 5","WRITE-IN"," ","14","5.4264","Park and Recreation"
"CEMETERY DISTRICT NO. 1 (GRAND MOUND) Cemetery Commissioner, Position No. 3","Marc S. Spiegelberg"," ","2064","98.5203","Cemetery"
"CEMETERY DISTRICT NO. 1 (GRAND MOUND) Cemetery Commissioner, Position No. 3","WRITE-IN"," ","31","1.4797","Cemetery"
"Cemetery District No. 2 (Yelm) Cemetery Commissioner, Position No. 3","Kristen Colt"," ","2621","94.4164","Cemetery"
"Cemetery District No. 2 (Yelm) Cemetery Commissioner, Position No. 3","WRITE-IN"," ","155","5.5836","Cemetery"
