"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Approved"," ","28223","57.8898","County"
"Thurston Proposition No. 1 Sales and Use Tax for Law Enforcement Protection, Corresponding Prosecution and Public Defense Services, and Elections Security","Rejected"," ","20530","42.1102","County"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Vivian Eason","(Prefers Independent Party)","24862","50.3127","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","Wayne Fournier","(Prefers Democratic Party)","24386","49.3494","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 4","WRITE-IN"," ","167","0.338","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Emily Clouse","(Prefers Democratic Party)","29437","59.3428","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","Terry S. Ballard","(States No Party Preference)","20010","40.3387","Commissioner"
"COMMISSIONER DISTRICT ALL COUNTY Commissioner, District No. 5","WRITE-IN"," ","158","0.3185","Commissioner"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Jasmine Vasavada"," ","24591","50.7125","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","Bill McGregor"," ","23721","48.9184","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 1","WRITE-IN"," ","179","0.3691","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Rose Chiu Gundersen"," ","23768","49.5187","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","Maggie Sanders"," ","23998","49.9979","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 4","WRITE-IN"," ","232","0.4834","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Sarah Tonge"," ","24878","52.0351","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","Troy Kirby"," ","22743","47.5695","Port"
"PORT OF OLYMPIA Port Commissioner, District No. 5","WRITE-IN"," ","189","0.3953","Port"
"Town of Bucoda Mayor","Robert F. Gordon"," ","74","100","City/Town"
"Town of Bucoda Mayor","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 1","Callie Carpenter"," ","65","98.4848","City/Town"
"Town of Bucoda Town Council, Position No. 1","WRITE-IN"," ","1","1.5152","City/Town"
"Town of Bucoda Town Council, Position No. 2","Steven Lyle"," ","65","98.4848","City/Town"
"Town of Bucoda Town Council, Position No. 2","WRITE-IN"," ","1","1.5152","City/Town"
"Town of Bucoda Town Council, Position No. 4","Michelle Layton"," ","66","100","City/Town"
"Town of Bucoda Town Council, Position No. 4","WRITE-IN"," ","0","0","City/Town"
"Town of Bucoda Town Council, Position No. 5","Kiersten Presley"," ","67","98.5294","City/Town"
"Town of Bucoda Town Council, Position No. 5","WRITE-IN"," ","1","1.4706","City/Town"
"CITY OF LACEY City Council, Position No. 1","Malcolm Miller"," ","6624","97.5265","City/Town"
"CITY OF LACEY City Council, Position No. 1","WRITE-IN"," ","168","2.4735","City/Town"
"CITY OF LACEY City Council, Position No. 2","Spencer Zeman"," ","3392","42.7258","City/Town"
"CITY OF LACEY City Council, Position No. 2","Lenny Greenstein"," ","4508","56.783","City/Town"
"CITY OF LACEY City Council, Position No. 2","WRITE-IN"," ","39","0.4912","City/Town"
"CITY OF LACEY City Council, Position No.  3","Nicolas Dunning"," ","5038","63.8854","City/Town"
"CITY OF LACEY City Council, Position No.  3","Ed Kunkel"," ","2793","35.4172","City/Town"
"CITY OF LACEY City Council, Position No.  3","WRITE-IN"," ","55","0.6974","City/Town"
"City of Olympia Mayor","Dontae Payne"," ","7104","67.8834","City/Town"
"City of Olympia Mayor","David Ross"," ","3312","31.6484","City/Town"
"City of Olympia Mayor","WRITE-IN"," ","49","0.4682","City/Town"
"City of Olympia City Council, Position No. 2","Yen Huynh"," ","7726","96.2382","City/Town"
"City of Olympia City Council, Position No. 2","WRITE-IN"," ","302","3.7618","City/Town"
"City of Olympia City Council, Position No. 3","Dani Madrone"," ","7755","96.3593","City/Town"
"City of Olympia City Council, Position No. 3","WRITE-IN"," ","293","3.6407","City/Town"
"City of Rainier City Council, Position No. 2","Damion Green"," ","153","45.8084","City/Town"
"City of Rainier City Council, Position No. 2","Ryan Roth"," ","178","53.2934","City/Town"
"City of Rainier City Council, Position No. 2","WRITE-IN"," ","3","0.8982","City/Town"
"City of Rainier City Council, Position No. 4","Ron Kemp"," ","253","96.9349","City/Town"
"City of Rainier City Council, Position No. 4","WRITE-IN"," ","8","3.0651","City/Town"
"City of Tenino Mayor","David Watterson"," ","168","51.0638","City/Town"
"City of Tenino Mayor","Linda Gotovac"," ","161","48.9362","City/Town"
"City of Tenino Mayor","WRITE-IN"," ","0","0","City/Town"
"City of Tenino City Council, Position No. 2","Elaine Klamn"," ","249","97.2656","City/Town"
"City of Tenino City Council, Position No. 2","WRITE-IN"," ","7","2.7344","City/Town"
"City of Tenino City Council, Position No. 5","Jeff Eisel"," ","244","97.6","City/Town"
"City of Tenino City Council, Position No. 5","WRITE-IN"," ","6","2.4","City/Town"
"City of Tumwater City Council, Position No. 1","Leatta Dahlhoff"," ","3151","97.8571","City/Town"
"City of Tumwater City Council, Position No. 1","WRITE-IN"," ","69","2.1429","City/Town"
"City of Tumwater City Council, Position No. 2","Angela Jefferson"," ","3220","98.2906","City/Town"
"City of Tumwater City Council, Position No. 2","WRITE-IN"," ","56","1.7094","City/Town"
"City of Tumwater City Council, Position No. 3","Doris Atkinson"," ","610","15.625","City/Town"
"City of Tumwater City Council, Position No. 3","Joan Cathey"," ","3257","83.4273","City/Town"
"City of Tumwater City Council, Position No. 3","WRITE-IN"," ","37","0.9477","City/Town"
"City of Tumwater City Council, Position No. 7","Andrea McGhee"," ","2010","48.7037","City/Town"
