"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"City of Tumwater City Council, Position No. 7","Kelly Von Holtz"," ","2103","50.9571","City/Town"
"City of Tumwater City Council, Position No. 7","WRITE-IN"," ","14","0.3392","City/Town"
"CITY OF YELM City Council, Position No. 1","Stephanie Kangiser"," ","387","49.1741","City/Town"
"CITY OF YELM City Council, Position No. 1","Tracey Wood"," ","395","50.1906","City/Town"
"CITY OF YELM City Council, Position No. 1","WRITE-IN"," ","5","0.6353","City/Town"
"CITY OF YELM City Council, Position No. 2","Joseph Dale Richardson"," ","409","52.235","City/Town"
"CITY OF YELM City Council, Position No. 2","Jerry Toompas"," ","367","46.871","City/Town"
"CITY OF YELM City Council, Position No. 2","WRITE-IN"," ","7","0.894","City/Town"
"CITY OF YELM City Council, Position No. 6","Trevor Palmer"," ","397","50.7024","City/Town"
"CITY OF YELM City Council, Position No. 6","Ashley Lea Brooks"," ","381","48.659","City/Town"
"CITY OF YELM City Council, Position No. 6","WRITE-IN"," ","5","0.6386","City/Town"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 2","Maritza Bravo"," ","52","96.2963","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 2","WRITE-IN"," ","2","3.7037","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 3","Andrea Ware"," ","49","96.0784","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 3","WRITE-IN"," ","2","3.9216","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","Mandi McDougall"," ","22","30.9859","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","Sarah Holmes"," ","49","69.0141","School"
"CENTRALIA SCHOOL DISTRICT NO. 401 Director Position 4","WRITE-IN"," ","0","0","School"
"Griffin School District No. 324 School Board Director, Position No. 1","Matt Dorcy"," ","866","45.9416","School"
"Griffin School District No. 324 School Board Director, Position No. 1","Tesa Frevert"," ","1012","53.687","School"
"Griffin School District No. 324 School Board Director, Position No. 1","WRITE-IN"," ","7","0.3714","School"
"Griffin School District No. 324 School Board Director, Position No. 2","Emma Rose"," ","1381","97.1167","School"
"Griffin School District No. 324 School Board Director, Position No. 2","WRITE-IN"," ","41","2.8833","School"
"Griffin School District No. 324 School Board Director, Position No. 3","David Kangiser"," ","720","41.0959","School"
"Griffin School District No. 324 School Board Director, Position No. 3","Blair Baker"," ","1016","57.9909","School"
"Griffin School District No. 324 School Board Director, Position No. 3","WRITE-IN"," ","16","0.9132","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","Veronica Shriver"," ","7599","46.6712","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","Gretchen Maliska"," ","8607","52.8621","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 1","WRITE-IN"," ","76","0.4668","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","Stephanie Scott"," ","7665","47.4584","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","Esperanza A. Badillo-Diiorio"," ","8380","51.8853","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 4","WRITE-IN"," ","106","0.6563","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","Michelle J. Gipson"," ","8255","50.4862","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","David G. Newkirk"," ","8029","49.104","School"
"NORTH THURSTON PUBLIC SCHOOLS School Board Director, District No. 5","WRITE-IN"," ","67","0.4098","School"
"Olympia School District No. 111 School Board Director, District No. 1","Maria R. Flores"," ","8983","63.7997","School"
"Olympia School District No. 111 School Board Director, District No. 1","Talauna Reed"," ","4546","32.2869","School"
"Olympia School District No. 111 School Board Director, District No. 1","WRITE-IN"," ","551","3.9134","School"
"Olympia School District No. 111 School Board Director, District No. 2","Jess Tourtellotte-Palumbo"," ","8052","56.9851","School"
"Olympia School District No. 111 School Board Director, District No. 2","Frank Durocher"," ","6031","42.6822","School"
"Olympia School District No. 111 School Board Director, District No. 2","WRITE-IN"," ","47","0.3326","School"
"Olympia School District No. 111 School Board Director, District No. 4","Hilary Seidel"," ","8405","59.9543","School"
"Olympia School District No. 111 School Board Director, District No. 4","Leslie Van Leishout"," ","5527","39.4251","School"
"Olympia School District No. 111 School Board Director, District No. 4","WRITE-IN"," ","87","0.6206","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","Amanda Siemandel"," ","510","57.9545","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","Aaron Lang"," ","364","41.3636","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 1","WRITE-IN"," ","6","0.6818","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","Jerry F. Sprouffske"," ","504","55.5066","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","Jon Palmer"," ","398","43.8326","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 2","WRITE-IN"," ","6","0.6608","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","Dana Morgan Spivey"," ","642","71.1752","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","Brian Hackethal"," ","257","28.4922","School"
"RAINIER SCHOOL DISTRICT NO. 307 School Board Director, District No. 3","WRITE-IN"," ","3","0.3326","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","Grant Rodeheaver"," ","1335","62.735","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","Wava Garza"," ","779","36.6071","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 2","WRITE-IN"," ","14","0.6579","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","Penelope Mena"," ","889","41.6004","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","Susie Hawes"," ","1230","57.5573","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 3","WRITE-IN"," ","18","0.8423","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","James Neil Turner"," ","1035","49.3798","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","Michael L. Morrow"," ","1045","49.8569","School"
"ROCHESTER SCHOOL DISTRICT NO. 401 School Board Director, District No. 4","WRITE-IN"," ","16","0.7634","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","Ryan T. Hilton"," ","309","15.7734","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","Jennifer Johnson"," ","1639","83.6651","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 2","WRITE-IN"," ","11","0.5615","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 3","Adam Barr"," ","1516","96.071","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 3","WRITE-IN"," ","62","3.929","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 4","Jessica Reeves-Rush"," ","1617","97.763","School"
"TENINO SCHOOL DISTRICT NO. 402 School Board Director, District No. 4","WRITE-IN"," ","37","2.237","School"
"Tumwater School District No. 033 School Board Director, District No. 1","Jeff (Cowboy) Curry"," ","2632","36.8834","School"
"Tumwater School District No. 033 School Board Director, District No. 1","Jill Tokarczyk Adams"," ","4466","62.5841","School"
"Tumwater School District No. 033 School Board Director, District No. 1","WRITE-IN"," ","38","0.5325","School"
"Tumwater School District No. 033 School Board Director, District No. 2","Casey Taylor"," ","5204","93.0782","School"
"Tumwater School District No. 033 School Board Director, District No. 2","WRITE-IN"," ","387","6.9218","School"
"Tumwater School District No. 033 School Board Director, District No. 3","Scott Killough"," ","5454","97.9702","School"
"Tumwater School District No. 033 School Board Director, District No. 3","WRITE-IN"," ","113","2.0298","School"
"Yelm Community Schools School Board Director, District No. 2","Eric Heid"," ","1341","40.4769","School"
"Yelm Community Schools School Board Director, District No. 2","Casey Shaw"," ","1926","58.1346","School"
"Yelm Community Schools School Board Director, District No. 2","WRITE-IN"," ","46","1.3885","School"
"Yelm Community Schools School Board Director, District No. 3","Allyn Verbal"," ","1317","39.0569","School"
"Yelm Community Schools School Board Director, District No. 3","Denise Hendrickson"," ","2035","60.3499","School"
"Yelm Community Schools School Board Director, District No. 3","WRITE-IN"," ","20","0.5931","School"
"Yelm Community Schools School Board Director, District No. 5","Bill Hauss"," ","1937","57.3586","School"
"Yelm Community Schools School Board Director, District No. 5","Karen (Kay) Anderson"," ","1418","41.9899","School"
"Yelm Community Schools School Board Director, District No. 5","WRITE-IN"," ","22","0.6515","School"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 3","Frank Kirkbride"," ","12215","98.5717","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 3","WRITE-IN"," ","177","1.4283","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 4","Liberty Hetzler"," ","11990","98.2465","Fire"
"FIRE PROTECTION DISTRICT NO. 03 - LACEY Fire Commissioner, Position No. 4","WRITE-IN"," ","214","1.7535","Fire"
"Fire Protection District No. 06 - East Olympia Fire Commissioner, Position No. 3","Brandon Faust"," ","2011","98.0019","Fire"
"Fire Protection District No. 06 - East Olympia Fire Commissioner, Position No. 3","WRITE-IN"," ","41","1.9981","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 1","Gloria Zvirzdys"," ","2358","97.9236","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 1","WRITE-IN"," ","50","2.0764","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 2","Jake Hunter"," ","2393","98.4369","Fire"
"Fire Protection District No. 08 - South Bay Fire Commissioner, Position No. 2","WRITE-IN"," ","38","1.5631","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 3","Len Albert"," ","2393","98.8843","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 3","WRITE-IN"," ","27","1.1157","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No.  4","Jason A. Foust"," ","2322","98.7245","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No.  4","WRITE-IN"," ","30","1.2755","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 5","Mark Thompson"," ","2401","98.8066","Fire"
"FIRE PROTECTION DISTRICT NO. 9 - MCLANE BLACK LAKE Fire Commissioner, Position No. 5","WRITE-IN"," ","29","1.1934","Fire"
"FIRE PROTECTION DISTRICT 12 Fire Commissioner, Position No. 4","James Freed"," ","1002","96.7181","Fire"
"FIRE PROTECTION DISTRICT 12 Fire Commissioner, Position No. 4","WRITE-IN"," ","34","3.2819","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 1","Arthur Dalessandro"," ","1347","99.0441","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 1","WRITE-IN"," ","13","0.9559","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 3","Dave Pearsall"," ","1355","98.689","Fire"
"Fire Protection District No. 13 - Griffin Fire Commissioner, Position No. 3","WRITE-IN"," ","18","1.311","Fire"
"FIRE PROTECTION DISTRICT NO. 17 - BALD HILLS Fire Commissioner, Position No. 1","Harry W. Miller"," ","427","97.7117","Fire"
"FIRE PROTECTION DISTRICT NO. 17 - BALD HILLS Fire Commissioner, Position No. 1","WRITE-IN"," ","10","2.2883","Fire"
"SE Thurston Fire Authority Sub Region 1 Fire Commissioner, Position No. 2","David Shepherd"," ","2623","98.3871","Fire"
"SE Thurston Fire Authority Sub Region 1 Fire Commissioner, Position No. 2","WRITE-IN"," ","43","1.6129","Fire"
"SE Thurston Fire Authority Sub Region 2 Fire Commissioner, Position No. 2 ","Jeff DeHan"," ","2692","98.6442","Fire"
"SE Thurston Fire Authority Sub Region 2 Fire Commissioner, Position No. 2 ","WRITE-IN"," ","37","1.3558","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 1","Bill DeVore"," ","2541","97.5432","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 1","WRITE-IN"," ","64","2.4568","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 2","Steven Slater"," ","2636","98.5421","Fire"
"SE Thurston Fire Authority Sub Region 3 Fire Commissioner, Position No. 2","WRITE-IN"," ","39","1.4579","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY ROCHESTER Fire Commissioner, Position No. 1","Jeff Merryman"," ","1353","82.5503","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY ROCHESTER Fire Commissioner, Position No. 1","WRITE-IN"," ","286","17.4497","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY LITTLEROCK Fire Commissioner, Position No. 2","Michael Reed"," ","1186","86.3802","Fire"
"WEST THURSTON  REGIONAL FIRE AUTHORITY LITTLEROCK Fire Commissioner, Position No. 2","WRITE-IN"," ","187","13.6198","Fire"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 1","Dayv Lowry"," ","228","97.0213","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 1","WRITE-IN"," ","7","2.9787","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 5","Alexis Wallace"," ","200","93.8967","Park and Recreation"
"TANGLEWILDE PARKS &amp; RECREATION DISTRICT NO. 1 Parks &amp; Recreation Commissioner, Position No. 5","WRITE-IN"," ","13","6.1033","Park and Recreation"
"CEMETERY DISTRICT NO. 1 (GRAND MOUND) Cemetery Commissioner, Position No. 3","Marc S. Spiegelberg"," ","1859","98.464","Cemetery"
"CEMETERY DISTRICT NO. 1 (GRAND MOUND) Cemetery Commissioner, Position No. 3","WRITE-IN"," ","29","1.536","Cemetery"
"Cemetery District No. 2 (Yelm) Cemetery Commissioner, Position No. 3","Kristen Colt"," ","2230","94.6921","Cemetery"
"Cemetery District No. 2 (Yelm) Cemetery Commissioner, Position No. 3","WRITE-IN"," ","125","5.3079","Cemetery"
